iter	Passed	Remaining
0	167	167130
1	182	91083
2	199	66434
3	215	53748
4	232	46190
5	245	40709
6	259	36764
7	274	34051
8	290	32012
9	304	30106
10	317	28564
11	331	27285
12	343	26056
13	357	25145
14	372	24438
15	390	23992
16	406	23527
17	419	22886
18	427	22096
19	443	21728
20	462	21543
21	480	21375
22	492	20901
23	503	20460
24	515	20114
25	525	19698
26	534	19270
27	544	18894
28	554	18557
29	565	18277
30	574	17958
31	584	17673
32	593	17378
33	604	17188
34	616	16991
35	626	16782
36	636	16578
37	647	16381
38	656	16182
39	665	15970
40	674	15777
41	684	15618
42	699	15573
43	715	15540
44	729	15488
45	743	15414
46	757	15349
47	770	15280
48	781	15158
49	795	15106
50	810	15089
51	828	15101
52	841	15038
53	855	14983
54	869	14939
55	880	14845
56	894	14793
57	909	14777
58	921	14704
59	929	14566
60	942	14512
61	955	14454
62	969	14417
63	990	14480
64	1008	14500
65	1025	14518
66	1044	14550
67	1072	14694
68	1085	14647
69	1106	14699
70	1117	14616
71	1125	14505
72	1136	14436
73	1148	14366
74	1158	14289
75	1167	14189
76	1175	14086
77	1184	14002
78	1193	13915
79	1205	13858
80	1216	13806
81	1225	13724
82	1239	13690
83	1251	13648
84	1260	13567
85	1274	13546
86	1289	13528
87	1304	13518
88	1320	13520
89	1334	13496
90	1348	13472
91	1360	13428
92	1374	13407
93	1388	13384
94	1403	13373
95	1420	13372
96	1431	13330
97	1440	13254
98	1458	13270
99	1471	13239
100	1481	13183
101	1489	13110
102	1505	13112
103	1517	13077
104	1530	13046
105	1538	12975
106	1548	12924
107	1557	12863
108	1565	12796
109	1575	12750
110	1583	12683
111	1593	12632
112	1601	12571
113	1614	12545
114	1623	12493
115	1631	12436
116	1642	12396
117	1652	12349
118	1661	12297
119	1669	12240
120	1678	12191
121	1687	12141
122	1696	12093
123	1706	12054
124	1714	11999
125	1723	11957
126	1732	11912
127	1742	11869
128	1750	11818
129	1758	11769
130	1767	11722
131	1776	11684
132	1784	11632
133	1794	11597
134	1803	11552
135	1812	11513
136	1825	11499
137	1835	11466
138	1847	11444
139	1863	11444
140	1877	11435
141	1890	11424
142	1903	11409
143	1912	11367
144	1923	11339
145	1931	11297
146	1943	11276
147	1952	11242
148	1960	11198
149	1970	11164
150	1978	11122
151	1988	11092
152	1996	11051
153	2006	11022
154	2016	10995
155	2024	10955
156	2036	10932
157	2044	10895
158	2053	10860
159	2062	10827
160	2071	10794
161	2081	10765
162	2089	10727
163	2099	10704
164	2108	10667
165	2117	10639
166	2125	10602
167	2137	10583
168	2146	10555
169	2154	10519
170	2166	10503
171	2175	10472
172	2185	10446
173	2194	10418
174	2203	10387
175	2213	10363
176	2221	10330
177	2232	10308
178	2240	10276
179	2252	10259
180	2265	10250
181	2273	10216
182	2283	10195
183	2293	10169
184	2301	10137
185	2311	10114
186	2319	10082
187	2329	10062
188	2337	10030
189	2349	10014
190	2357	9987
191	2366	9957
192	2376	9937
193	2384	9908
194	2394	9885
195	2403	9857
196	2413	9836
197	2421	9807
198	2430	9784
199	2439	9758
200	2449	9737
201	2458	9713
202	2466	9684
203	2478	9669
204	2486	9641
205	2496	9620
206	2505	9597
207	2513	9569
208	2523	9549
209	2531	9522
210	2540	9499
211	2548	9473
212	2559	9458
213	2567	9431
214	2577	9410
215	2585	9383
216	2595	9364
217	2605	9347
218	2613	9321
219	2623	9303
220	2632	9277
221	2640	9253
222	2648	9227
223	2659	9213
224	2672	9206
225	2682	9187
226	2692	9168
227	2700	9143
228	2708	9120
229	2717	9097
230	2725	9074
231	2734	9051
232	2742	9028
233	2752	9008
234	2759	8983
235	2768	8963
236	2777	8943
237	2787	8923
238	2795	8900
239	2804	8882
240	2812	8858
241	2822	8840
242	2830	8818
243	2838	8794
244	2847	8774
245	2857	8757
246	2867	8743
247	2876	8720
248	2886	8706
249	2894	8684
250	2904	8666
251	2911	8642
252	2920	8623
253	2929	8602
254	2937	8581
255	2945	8560
256	2953	8539
257	2962	8519
258	2970	8499
259	2979	8481
260	2990	8466
261	2999	8448
262	3007	8428
263	3016	8410
264	3024	8389
265	3033	8370
266	3041	8350
267	3050	8332
268	3058	8312
269	3068	8295
270	3079	8284
271	3088	8265
272	3098	8251
273	3106	8232
274	3116	8215
275	3124	8195
276	3132	8176
277	3141	8158
278	3150	8142
279	3162	8131
280	3171	8113
281	3182	8104
282	3194	8092
283	3205	8081
284	3216	8068
285	3226	8056
286	3234	8035
287	3243	8019
288	3251	7999
289	3261	7984
290	3269	7965
291	3278	7949
292	3286	7930
293	3298	7919
294	3307	7903
295	3315	7885
296	3324	7868
297	3332	7849
298	3341	7834
299	3349	7815
300	3360	7803
301	3368	7784
302	3378	7771
303	3386	7752
304	3395	7737
305	3404	7721
306	3415	7708
307	3425	7695
308	3436	7685
309	3451	7681
310	3464	7676
311	3481	7677
312	3496	7674
313	3509	7668
314	3523	7661
315	3538	7658
316	3553	7656
317	3568	7654
318	3583	7649
319	3597	7644
320	3606	7628
321	3617	7617
322	3627	7602
323	3637	7588
324	3645	7571
325	3655	7557
326	3663	7539
327	3672	7524
328	3680	7507
329	3692	7496
330	3702	7484
331	3712	7469
332	3722	7456
333	3730	7439
334	3739	7423
335	3748	7406
336	3756	7389
337	3765	7374
338	3772	7356
339	3782	7342
340	3790	7325
341	3800	7312
342	3808	7295
343	3820	7286
344	3828	7268
345	3837	7253
346	3846	7237
347	3854	7221
348	3864	7207
349	3872	7190
350	3883	7180
351	3891	7164
352	3901	7150
353	3908	7133
354	3917	7117
355	3925	7100
356	3935	7088
357	3944	7073
358	3953	7058
359	3962	7044
360	3970	7028
361	3979	7014
362	3987	6998
363	3997	6984
364	4005	6968
365	4013	6952
366	4021	6936
367	4033	6927
368	4044	6916
369	4052	6900
370	4061	6886
371	4069	6869
372	4079	6857
373	4087	6840
374	4096	6827
375	4104	6811
376	4113	6796
377	4121	6781
378	4132	6770
379	4143	6759
380	4151	6744
381	4160	6730
382	4167	6714
383	4177	6701
384	4185	6685
385	4196	6675
386	4205	6661
387	4213	6646
388	4222	6631
389	4230	6616
390	4238	6601
391	4248	6589
392	4258	6576
393	4266	6561
394	4276	6549
395	4284	6534
396	4295	6524
397	4304	6510
398	4312	6496
399	4322	6483
400	4330	6468
401	4341	6458
402	4349	6443
403	4364	6438
404	4378	6432
405	4392	6426
406	4404	6418
407	4415	6406
408	4429	6399
409	4446	6398
410	4464	6397
411	4479	6393
412	4494	6387
413	4508	6381
414	4522	6375
415	4536	6368
416	4547	6357
417	4564	6355
418	4579	6350
419	4593	6343
420	4604	6333
421	4613	6319
422	4623	6307
423	4634	6295
424	4642	6281
425	4654	6270
426	4662	6257
427	4672	6244
428	4684	6234
429	4692	6220
430	4707	6214
431	4718	6203
432	4727	6190
433	4738	6179
434	4750	6170
435	4760	6157
436	4776	6154
437	4790	6146
438	4802	6136
439	4810	6122
440	4821	6111
441	4833	6101
442	4841	6087
443	4852	6076
444	4860	6061
445	4871	6051
446	4882	6039
447	4890	6025
448	4900	6013
449	4908	5999
450	4918	5987
451	4928	5975
452	4937	5961
453	4947	5949
454	4955	5935
455	4967	5926
456	4977	5913
457	4986	5900
458	4995	5888
459	5003	5873
460	5013	5861
461	5021	5848
462	5032	5836
463	5041	5823
464	5050	5810
465	5061	5799
466	5069	5786
467	5081	5776
468	5091	5765
469	5100	5751
470	5110	5739
471	5119	5726
472	5129	5715
473	5138	5702
474	5148	5690
475	5159	5679
476	5168	5666
477	5180	5657
478	5190	5645
479	5198	5632
480	5210	5621
481	5220	5610
482	5234	5602
483	5249	5596
484	5264	5589
485	5280	5584
486	5294	5577
487	5307	5568
488	5317	5556
489	5333	5551
490	5348	5544
491	5363	5537
492	5379	5531
493	5393	5524
494	5407	5516
495	5416	5504
496	5433	5498
497	5450	5493
498	5466	5488
499	5482	5482
500	5498	5476
501	5513	5469
502	5528	5462
503	5547	5459
504	5565	5455
505	5582	5449
506	5603	5448
507	5620	5443
508	5632	5433
509	5646	5425
510	5660	5417
511	5675	5409
512	5690	5402
513	5703	5393
514	5713	5380
515	5730	5375
516	5750	5372
517	5761	5360
518	5776	5353
519	5791	5345
520	5803	5335
521	5818	5328
522	5832	5319
523	5845	5310
524	5860	5302
525	5875	5294
526	5897	5293
527	5909	5283
528	5922	5273
529	5936	5264
530	5950	5255
531	5964	5246
532	5976	5236
533	5991	5228
534	6005	5219
535	6020	5211
536	6034	5202
537	6048	5194
538	6065	5187
539	6073	5173
540	6083	5161
541	6091	5147
542	6103	5136
543	6113	5124
544	6121	5110
545	6131	5098
546	6140	5085
547	6150	5072
548	6159	5060
549	6168	5046
550	6178	5034
551	6187	5021
552	6198	5010
553	6246	5028
554	6266	5024
555	6292	5024
556	6349	5050
557	6369	5045
558	6394	5044
559	6424	5047
560	6436	5037
561	6451	5028
562	6467	5020
563	6480	5009
564	6489	4996
565	6498	4982
566	6509	4970
567	6517	4956
568	6528	4944
569	6535	4930
570	6546	4918
571	6557	4906
572	6565	4892
573	6577	4881
574	6586	4868
575	6595	4855
576	6606	4843
577	6615	4829
578	6625	4817
579	6633	4803
580	6643	4790
581	6651	4777
582	6661	4764
583	6671	4752
584	6679	4738
585	6690	4726
586	6699	4713
587	6709	4700
588	6717	4687
589	6728	4675
590	6739	4663
591	6747	4649
592	6757	4637
593	6766	4624
594	6774	4611
595	6783	4598
596	6793	4586
597	6804	4574
598	6812	4560
599	6822	4548
600	6831	4535
601	6840	4522
602	6850	4510
603	6858	4496
604	6871	4486
605	6880	4473
606	6891	4461
607	6901	4449
608	6909	4436
609	6919	4423
610	6927	4410
611	6937	4398
612	6946	4385
613	6955	4372
614	6965	4360
615	6973	4347
616	6985	4336
617	6994	4323
618	7004	4311
619	7013	4298
620	7022	4285
621	7032	4274
622	7040	4260
623	7051	4248
624	7059	4235
625	7118	4252
626	7170	4265
627	7192	4260
628	7215	4256
629	7226	4244
630	7251	4240
631	7268	4232
632	7278	4219
633	7286	4206
634	7299	4195
635	7309	4183
636	7317	4169
637	7328	4157
638	7336	4144
639	7346	4132
640	7354	4118
641	7363	4106
642	7371	4092
643	7384	4082
644	7398	4072
645	7408	4059
646	7416	4046
647	7427	4034
648	7436	4022
649	7446	4009
650	7455	3996
651	7463	3983
652	7473	3971
653	7484	3959
654	7499	3949
655	7514	3940
656	7527	3929
657	7535	3916
658	7547	3905
659	7557	3893
660	7565	3879
661	7574	3867
662	7582	3854
663	7592	3842
664	7601	3829
665	7611	3817
666	7621	3805
667	7631	3792
668	7640	3780
669	7649	3767
670	7658	3754
671	7666	3742
672	7676	3729
673	7685	3717
674	7695	3705
675	7704	3692
676	7712	3679
677	7724	3668
678	7734	3656
679	7743	3643
680	7752	3631
681	7760	3618
682	7770	3606
683	7778	3593
684	7788	3581
685	7796	3568
686	7806	3556
687	7815	3544
688	7825	3532
689	7834	3520
690	7843	3507
691	7851	3494
692	7859	3481
693	7869	3469
694	7877	3456
695	7889	3446
696	7899	3434
697	7908	3421
698	7919	3410
699	7927	3397
700	7937	3385
701	7945	3372
702	7955	3360
703	7965	3349
704	7973	3336
705	7983	3324
706	7991	3311
707	8000	3299
708	8009	3287
709	8018	3275
710	8026	3262
711	8037	3251
712	8047	3239
713	8055	3226
714	8064	3214
715	8072	3202
716	8083	3190
717	8092	3178
718	8101	3166
719	8109	3153
720	8117	3141
721	8127	3129
722	8136	3117
723	8145	3105
724	8153	3092
725	8163	3080
726	8171	3068
727	8180	3056
728	8189	3044
729	8198	3032
730	8206	3019
731	8215	3007
732	8223	2995
733	8231	2983
734	8240	2970
735	8250	2959
736	8259	2947
737	8267	2935
738	8277	2923
739	8285	2911
740	8294	2899
741	8302	2886
742	8311	2874
743	8318	2862
744	8328	2850
745	8335	2838
746	8346	2826
747	8354	2814
748	8364	2803
749	8376	2792
750	8388	2781
751	8399	2770
752	8410	2758
753	8418	2746
754	8428	2735
755	8437	2723
756	8447	2711
757	8457	2700
758	8465	2687
759	8475	2676
760	8484	2664
761	8496	2653
762	8508	2642
763	8517	2631
764	8526	2619
765	8535	2607
766	8545	2596
767	8559	2585
768	8572	2575
769	8581	2563
770	8590	2551
771	8598	2539
772	8607	2527
773	8616	2515
774	8625	2504
775	8634	2492
776	8643	2480
777	8654	2469
778	8662	2457
779	8673	2446
780	8681	2434
781	8690	2422
782	8698	2410
783	8707	2398
784	8717	2387
785	8725	2375
786	8734	2363
787	8742	2352
788	8753	2340
789	8761	2329
790	8771	2317
791	8780	2305
792	8791	2294
793	8801	2283
794	8809	2271
795	8818	2259
796	8826	2248
797	8834	2236
798	8843	2224
799	8852	2213
800	8860	2201
801	8869	2189
802	8878	2178
803	8890	2167
804	8908	2157
805	8918	2146
806	8927	2135
807	8935	2123
808	8944	2111
809	8952	2099
810	8961	2088
811	8969	2076
812	8978	2065
813	8987	2053
814	8997	2042
815	9006	2030
816	9016	2019
817	9024	2007
818	9033	1996
819	9042	1984
820	9050	1973
821	9059	1961
822	9067	1950
823	9077	1938
824	9085	1927
825	9094	1915
826	9103	1904
827	9115	1893
828	9125	1882
829	9133	1870
830	9142	1859
831	9150	1847
832	9162	1836
833	9169	1825
834	9179	1814
835	9191	1803
836	9201	1791
837	9212	1780
838	9220	1769
839	9228	1757
840	9236	1746
841	9247	1735
842	9258	1724
843	9268	1713
844	9278	1701
845	9286	1690
846	9295	1679
847	9303	1667
848	9314	1656
849	9323	1645
850	9331	1633
851	9340	1622
852	9348	1611
853	9358	1599
854	9366	1588
855	9375	1577
856	9383	1565
857	9393	1554
858	9402	1543
859	9413	1532
860	9423	1521
861	9431	1509
862	9442	1498
863	9453	1488
864	9461	1476
865	9470	1465
866	9478	1454
867	9488	1442
868	9496	1431
869	9506	1420
870	9513	1409
871	9525	1398
872	9537	1387
873	9545	1376
874	9554	1364
875	9562	1353
876	9572	1342
877	9580	1331
878	9589	1320
879	9597	1308
880	9606	1297
881	9614	1286
882	9624	1275
883	9634	1264
884	9642	1252
885	9652	1241
